prova,data,materia,questao,conteudo
2022/2,21/06/2022,Literatura,7,Modernismo — Poema de Julieta Barbara – análise
2022/2,21/06/2022,Literatura,8,Modernismo — Semana de 22 – panorama (I/II/III)
2022/2,21/06/2022,Literatura,9,Arcadismo — Características da escola
2022/2,21/06/2022,Matematica,31,Geometria analítica
2022/2,21/06/2022,Matematica,32,Exponencial/Logaritmo
2022/2,21/06/2022,Matematica,33,Trigonometria
2022/2,21/06/2022,Matematica,34,Probabilidade
2022/2,21/06/2022,Matematica,35,Geometria espacial
2022/2,21/06/2022,Matematica,36,Proporção e grandezas
2022/2,21/06/2022,Matematica,37,Função quadrática
2022/2,21/06/2022,Matematica,38,Raciocínio lógico
2022/2,21/06/2022,Matematica,39,Proporção e grandezas
2022/2,21/06/2022,Geografia,54,Cartografia – fuso horário
2022/2,21/06/2022,Geografia,55,Climatologia
2022/2,21/06/2022,Geografia,56,Regionalização do Brasil
2022/2,21/06/2022,Geografia,57,Geopolítica – conflitos; Cartografia – escala
2022/2,21/06/2022,Geografia,58,Hidrografia
2022/2,21/06/2022,Geografia,59,África
2022/2,21/06/2022,Geografia,60,Oriente Médio
2023/1 m,dez/2022,Literatura,7,"Modernismo — 'O trovador', Mário de Andrade"
2023/1 m,dez/2022,Literatura,8,Modernismo — Linguagem de 'O trovador'
2023/1 m,dez/2022,Literatura,9,Realismo — Machado de Assis – vida e obra
2023/1 m,dez/2022,Literatura,10,"Naturalismo — O cortiço, Aluísio Azevedo"
2023/1 m,dez/2022,Matematica,30,Sistemas e equações
2023/1 m,dez/2022,Matematica,31,Geometria plana
2023/1 m,dez/2022,Matematica,32,Análise combinatória
2023/1 m,dez/2022,Matematica,33,Porcentagem
2023/1 m,dez/2022,Matematica,34,Trigonometria
2023/1 m,dez/2022,Matematica,35,Geometria espacial
2023/1 m,dez/2022,Matematica,36,Potenciação
2023/1 m,dez/2022,Matematica,37,PA e PG
2023/1 m,dez/2022,Matematica,38,Proporção e grandezas
2023/1 m,dez/2022,Matematica,39,Exponencial/Logaritmo
2023/1 m,dez/2022,Geografia,54,Hidrografia; Energia
2023/1 m,dez/2022,Geografia,55,Geopolítica – separatismos
2023/1 m,dez/2022,Geografia,56,Relevo
2023/1 m,dez/2022,Geografia,57,África
2023/1 m,dez/2022,Geografia,58,Climatologia; Biomas e vegetação
2023/1 m,dez/2022,Geografia,59,Hidrografia
2023/1 m,dez/2022,Geografia,60,Cartografia – escala
2023/1 t,dez/2022,Literatura,7,Modernismo — Semana de Arte Moderna de 1922
2023/1 t,dez/2022,Literatura,8,"Modernismo — Gerações/fases; 'Os sapos', Bandeira"
2023/1 t,dez/2022,Literatura,9,"Romantismo — 'Canção do exílio', Gonçalves Dias"
